Placed In,Class 10 Percentage,Class 12 Percentage,Degree Percentage,Degree CGPA,Live Backlogs,Education Gap,Year down,Internship Details
1,84,90,81,9,0,0,0,1
0,91,73,83,9,0,0,0,1
1,88,74,79,9,0,0,0,1
0,94,72,77,8,0,0,0,1
1,83,86,83,9,0,0,0,1
1,82,69,78,9,0,0,0,1
1,83,61,73,9,0,0,0,1
1,91,84,81,9,0,0,0,1
1,87,78,79,9,0,0,0,1
1,93,80,81,9,0,0,0,1
0,83,86,77,9,0,0,0,1
0,90,71,84,9,0,0,0,1
1,86,55,73,8,0,0,0,1
1,90,73,77,9,0,0,0,1
0,79,64,74,8,0,0,0,1
0,88,75,81,9,0,0,0,1
1,91,79,80,9,0,0,0,1
1,92,73,78,9,0,0,0,0
0,90,87,80,9,0,0,0,1
1,95,78,81,9,0,0,0,1
1,92,80,81,9,0,0,0,1
1,84,77,87,9,0,0,0,1
1,85,70,78,9,0,0,0,1
0,92,72,68,8,0,1,1,1
1,88,73,88,9,0,0,0,1
0,82,73,76,9,0,0,0,1
1,95,77,81,9,0,0,0,1
0,84,77,80,9,0,0,0,1
1,95,73,85,10,0,0,0,1
0,89,73,61,9,0,0,0,1
1,97,78,81,9,0,0,0,1
1,57,53,70,9,0,2,0,1
0,80,64,71,8,0,0,1,0
1,78,73,79,9,0,0,0,1
0,92,64,75,8,0,0,0,1
1,92,73,90,10,0,0,0,1
0,89,64,63,7,0,0,2,1
1,73,73,84,9,0,0,0,1
0,87,73,74,9,0,0,0,1
1,83,73,84,10,0,0,0,1
1,84,76,81,9,0,0,0,1
1,80,54,78,8,0,0,0,1
1,80,72,75,8,0,0,0,1
1,79,76,78,9,0,0,0,1
1,94,84,85,9,0,0,0,1
1,87,77,85,9,0,0,0,1
1,85,82,75,8,0,0,0,1
0,94,83,77,9,0,0,0,1
1,95,85,83,9,0,0,0,1
0,90,92,82,9,0,0,0,1
1,92,72,83,9,0,0,0,1
0,89,83,89,10,0,0,0,1
